lambda,accuracy
0.01,0.6991428571428572
0.0,0.6957142857142857
2.0,0.7234285714285714
0.0,0.6957142857142857
2.05,0.7142857142857143
0.0,0.6957142857142857
2.0999999999999996,0.7057142857142857
0.0,0.6957142857142857
2.1499999999999995,0.7011428571428572
0.0,0.6957142857142857
2.1999999999999993,0.6885714285714286
0.0,0.6957142857142857
1.1,0.8202857142857143
1.11,0.8197142857142857
1.11,0.8197142857142857
1.09,0.8208571428571428
1.09,0.8208571428571428
0.54,0.8057142857142857
0.55,0.8057142857142857
0.56,0.8065714285714286
0.56,0.8065714285714286
0.53,0.8057142857142857
0.52,0.8051428571428572
0.52,0.8051428571428572
0.8200000000000001,0.8222857142857143
0.8300000000000001,0.824
0.8300000000000001,0.824
0.81,0.8234285714285714
0.81,0.8234285714285714
0.68,0.822
0.6900000000000001,0.8222857142857143
0.6900000000000001,0.8222857142857143
0.67,0.8208571428571428
0.67,0.8208571428571428
0.75,0.8245714285714286
0.76,0.8242857142857143
0.76,0.8242857142857143
0.74,0.8242857142857143
0.74,0.8242857142857143
0.75,0.8245714285714286
