lambda,accuracy
0.0,0.6962857142857143
0.01,0.7005714285714286
0.02,0.7028571428571428
0.03,0.7065714285714285
0.04,0.71
0.05,0.7128571428571429
0.06,0.7145714285714285
0.07,0.7171428571428572
0.08,0.7211428571428572
0.09,0.7237142857142858
0.1,0.726
0.11,0.7297142857142858
0.12,0.7311428571428571
0.13,0.734
0.14,0.7365714285714285
0.15,0.7385714285714285
0.16,0.7408571428571429
0.17,0.7431428571428571
0.18,0.7454285714285714
0.19,0.748
0.2,0.7502857142857143
0.21,0.7548571428571429
0.22,0.7568571428571429
0.23,0.7588571428571429
0.24,0.7605714285714286
0.25,0.7608571428571429
0.26,0.7622857142857142
0.27,0.7637142857142857
0.28,0.7642857142857142
0.29,0.7662857142857142
0.3,0.7671428571428571
0.31,0.7694285714285715
0.32,0.7702857142857142
0.33,0.772
0.34,0.7725714285714286
0.35,0.7745714285714286
0.36,0.7771428571428571
0.37,0.7811428571428571
0.38,0.786
0.39,0.7882857142857143
0.4,0.7914285714285715
0.41,0.7934285714285715
0.42,0.796
0.43,0.798
0.44,0.8011428571428572
0.45,0.8022857142857143
0.46,0.8034285714285714
0.47,0.8057142857142857
0.48,0.806
0.49,0.808
0.5,0.8097142857142857
0.51,0.8117142857142857
0.52,0.8137142857142857
0.53,0.8145714285714286
0.54,0.8151428571428572
0.55,0.8168571428571428
0.56,0.8185714285714286
0.57,0.8191428571428572
0.58,0.8208571428571428
0.59,0.8208571428571428
0.6,0.8217142857142857
0.61,0.8225714285714286
0.62,0.8234285714285714
0.63,0.8254285714285714
0.64,0.8251428571428572
0.65,0.8245714285714286
0.66,0.8242857142857143
0.67,0.8245714285714286
0.68,0.8234285714285714
0.69,0.824
0.7,0.824
0.71,0.8234285714285714
0.72,0.8231428571428572
0.73,0.8242857142857143
0.74,0.8265714285714286
0.75,0.8277142857142857
0.76,0.8277142857142857
0.77,0.8288571428571428
0.78,0.8288571428571428
0.79,0.8285714285714286
0.8,0.8277142857142857
0.81,0.8277142857142857
0.82,0.828
0.83,0.8271428571428572
0.84,0.8274285714285714
0.85,0.828
0.86,0.8274285714285714
0.87,0.8268571428571428
0.88,0.8262857142857143
0.89,0.8265714285714286
0.9,0.8265714285714286
0.91,0.8262857142857143
0.92,0.8251428571428572
0.93,0.8254285714285714
0.94,0.8251428571428572
0.95,0.8234285714285714
0.96,0.8234285714285714
0.97,0.8234285714285714
0.98,0.8228571428571428
0.99,0.824
1.0,0.8234285714285714
1.01,0.8225714285714286
1.02,0.8234285714285714
1.03,0.8225714285714286
1.04,0.8211428571428572
1.05,0.8217142857142857
1.06,0.82
1.07,0.818
1.08,0.818
1.09,0.8174285714285714
1.1,0.8162857142857143
1.11,0.8165714285714286
1.12,0.8165714285714286
1.13,0.8165714285714286
1.14,0.816
1.15,0.816
1.16,0.8148571428571428
1.17,0.8148571428571428
1.18,0.8142857142857143
1.19,0.8142857142857143
1.2,0.814
1.21,0.8131428571428572
1.22,0.8125714285714286
1.23,0.812
1.24,0.8117142857142857
1.25,0.812
1.26,0.8114285714285714
1.27,0.8102857142857143
1.28,0.8094285714285714
1.29,0.808
1.3,0.8077142857142857
1.31,0.8065714285714286
1.32,0.8045714285714286
1.33,0.8025714285714286
1.34,0.8022857142857143
1.35,0.8014285714285714
1.36,0.8005714285714286
1.37,0.7994285714285714
1.38,0.8
1.39,0.798
1.4,0.7974285714285714
1.41,0.7971428571428572
1.42,0.7968571428571428
1.43,0.796
1.44,0.7951428571428572
1.45,0.7942857142857143
1.46,0.7934285714285715
1.47,0.7928571428571428
1.48,0.7917142857142857
1.49,0.79
1.5,0.7885714285714286
1.51,0.788
1.52,0.7862857142857143
1.53,0.7857142857142857
1.54,0.7854285714285715
1.55,0.7845714285714286
1.56,0.7831428571428571
1.57,0.7802857142857142
1.58,0.78
1.59,0.7788571428571428
1.6,0.7774285714285715
1.61,0.7762857142857142
1.62,0.776
1.63,0.7751428571428571
1.64,0.7742857142857142
1.65,0.774
1.66,0.7725714285714286
1.67,0.7714285714285715
1.68,0.7702857142857142
1.69,0.77
1.7,0.7691428571428571
1.71,0.7674285714285715
1.72,0.7665714285714286
1.73,0.7657142857142857
1.74,0.7648571428571429
1.75,0.7637142857142857
1.76,0.7634285714285715
1.77,0.762
1.78,0.7602857142857142
1.79,0.7594285714285715
1.8,0.7582857142857143
1.81,0.758
1.82,0.7557142857142857
1.83,0.7545714285714286
1.84,0.7534285714285714
1.85,0.7522857142857143
1.86,0.7514285714285714
1.87,0.7502857142857143
1.88,0.7491428571428571
1.89,0.7477142857142857
1.9,0.7468571428571429
1.91,0.7462857142857143
1.92,0.7445714285714286
1.93,0.744
1.94,0.7417142857142857
1.95,0.7394285714285714
1.96,0.7368571428571429
1.97,0.7362857142857143
1.98,0.734
1.99,0.7314285714285714
2.0,0.7291428571428571
2.01,0.7271428571428571
2.02,0.7257142857142858
2.03,0.7237142857142858
2.04,0.7234285714285714
2.05,0.7217142857142858
2.06,0.7214285714285714
2.07,0.7194285714285714
2.08,0.7177142857142857
2.09,0.7168571428571429
2.1,0.7151428571428572
2.11,0.7128571428571429
2.12,0.7102857142857143
2.13,0.71
2.14,0.7085714285714285
2.15,0.7062857142857143
2.16,0.7054285714285714
2.17,0.7045714285714286
2.18,0.7031428571428572
2.19,0.7011428571428572
2.2,0.6994285714285714
2.21,0.6968571428571428
2.22,0.6937142857142857
2.23,0.6917142857142857
2.24,0.6894285714285714
2.25,0.688
2.26,0.6877142857142857
2.27,0.6851428571428572
2.28,0.6822857142857143
2.29,0.6811428571428572
2.3,0.6782857142857143
2.31,0.6765714285714286
2.32,0.674
2.33,0.6731428571428572
2.34,0.6711428571428572
2.35,0.6682857142857143
2.36,0.6665714285714286
2.37,0.6642857142857143
2.38,0.6611428571428571
2.39,0.6588571428571428
2.4,0.6565714285714286
2.41,0.654
2.42,0.65
2.43,0.6482857142857142
2.44,0.6471428571428571
2.45,0.6448571428571429
2.46,0.6434285714285715
2.47,0.642
2.48,0.6405714285714286
2.49,0.6394285714285715
2.5,0.638
2.51,0.6368571428571429
2.52,0.6351428571428571
2.53,0.6311428571428571
2.54,0.6291428571428571
2.55,0.6274285714285714
2.56,0.6265714285714286
2.57,0.6245714285714286
2.58,0.6234285714285714
2.59,0.6197142857142857
2.6,0.6171428571428571
2.61,0.6157142857142858
2.62,0.614
2.63,0.6111428571428571
2.64,0.6097142857142858
2.65,0.6074285714285714
2.66,0.6054285714285714
2.67,0.604
2.68,0.6022857142857143
2.69,0.5988571428571429
2.7,0.5982857142857143
2.71,0.5971428571428572
2.72,0.5942857142857143
2.73,0.5925714285714285
2.74,0.59
2.75,0.5877142857142857
2.76,0.586
2.77,0.584
2.78,0.5834285714285714
2.79,0.582
2.8,0.58
2.81,0.578
2.82,0.576
2.83,0.5742857142857143
2.84,0.5705714285714286
2.85,0.5691428571428572
2.86,0.5668571428571428
2.87,0.5648571428571428
2.88,0.5628571428571428
2.89,0.5617142857142857
2.9,0.5605714285714286
2.91,0.5591428571428572
2.92,0.5582857142857143
2.93,0.556
2.94,0.5542857142857143
2.95,0.5537142857142857
2.96,0.5525714285714286
2.97,0.5508571428571428
2.98,0.5477142857142857
2.99,0.5462857142857143
3.0,0.5437142857142857
