lambda,accuracy
0.01,0.942
0.0,0.942
2.0,0.84
0.0,0.942
1.0,0.9697142857142858
1.01,0.9697142857142858
0.99,0.9694285714285714
1.5,0.944
1.51,0.9425714285714286
1.49,0.946
1.25,0.96
1.26,0.9591428571428572
1.24,0.96
1.37,0.9554285714285714
1.3800000000000001,0.9548571428571428
1.36,0.9557142857142857
1.31,0.9562857142857143
1.32,0.9562857142857143
1.3,0.9568571428571429
1.34,0.956
1.35,0.9557142857142857
1.33,0.9562857142857143
1.32,0.9562857142857143
1.33,0.9562857142857143
1.32,0.9562857142857143
