lambda,accuracy
0.01,0.9174285714285715
0.0,0.9171428571428571
2.0,0.9014285714285715
0.0,0.9171428571428571
1.0,0.9614285714285714
1.01,0.9617142857142857
0.99,0.9617142857142857
1.5,0.9485714285714286
1.51,0.9465714285714286
1.49,0.9488571428571428
1.25,0.9611428571428572
1.26,0.9608571428571429
1.24,0.9617142857142857
1.12,0.9642857142857143
1.1300000000000001,0.9642857142857143
1.11,0.9642857142857143
1.18,0.9645714285714285
1.19,0.9642857142857143
1.17,0.9654285714285714
1.1500000000000001,0.964
1.1600000000000001,0.9657142857142857
1.1400000000000001,0.964
1.16,0.9657142857142857
1.17,0.9654285714285714
1.16,0.9657142857142857
