lambda,accuracy
0.01,0.9077142857142857
0.0,0.9062857142857143
2.0,0.8694285714285714
0.0,0.9062857142857143
1.0,0.9391428571428572
1.01,0.9402857142857143
0.99,0.9371428571428572
1.5,0.91
1.51,0.9088571428571428
1.49,0.9105714285714286
1.25,0.9248571428571428
1.26,0.9242857142857143
1.24,0.9251428571428572
1.12,0.93
1.1300000000000001,0.9294285714285714
1.11,0.9305714285714286
1.06,0.9382857142857143
1.07,0.9374285714285714
1.05,0.9388571428571428
1.03,0.9405714285714286
1.04,0.9408571428571428
1.02,0.9397142857142857
1.04,0.9408571428571428
1.05,0.9388571428571428
1.04,0.9408571428571428
