,Baseline,IC
Accuracy,0.6666666666666666,0.7095238095238096
Balanced Accuracy,0.6666666666666667,0.7095238095238097
Macro Precision,0.7373553992548141,0.7253445958803102
Macro Recall,0.6666666666666667,0.7095238095238097
Macro F1,0.6542006817239331,0.7037601504441816
Recall_akiec,0.4666666666666667,0.6666666666666666
Recall_bcc,0.9,0.9333333333333333
Recall_bkl,0.6333333333333333,0.6
Recall_df,0.26666666666666666,0.43333333333333335
Recall_mel,0.6333333333333333,0.7
Recall_nv,0.8333333333333334,0.6666666666666666
Recall_vasc,0.9333333333333333,0.9666666666666667
