,Baseline,IC
Accuracy,0.6666666666666666,0.6714285714285714
Balanced Accuracy,0.6666666666666667,0.6714285714285715
Macro Precision,0.7373553992548141,0.7452198431459406
Macro Recall,0.6666666666666667,0.6714285714285715
Macro F1,0.6542006817239331,0.6637092184897994
Recall_akiec,0.4666666666666667,0.6666666666666666
Recall_bcc,0.9,0.7666666666666667
Recall_bkl,0.6333333333333333,0.5666666666666667
Recall_df,0.26666666666666666,0.8333333333333334
Recall_mel,0.6333333333333333,0.5666666666666667
Recall_nv,0.8333333333333334,0.3
Recall_vasc,0.9333333333333333,1.0
