lambda,accuracy
0.0,0.6857142857142857
0.01,0.6892857142857143
0.02,0.6857142857142857
0.03,0.6892857142857143
0.04,0.6892857142857143
0.05,0.6892857142857143
0.06,0.6892857142857143
0.07,0.6892857142857143
0.08,0.6892857142857143
0.09,0.6892857142857143
0.1,0.6892857142857143
0.11,0.6892857142857143
0.12,0.6892857142857143
0.13,0.6892857142857143
0.14,0.6892857142857143
0.15,0.6892857142857143
0.16,0.6892857142857143
0.17,0.6892857142857143
0.18,0.6892857142857143
0.19,0.6892857142857143
0.2,0.6928571428571428
0.21,0.6928571428571428
0.22,0.6928571428571428
0.23,0.6928571428571428
0.24,0.7
0.25,0.7
0.26,0.7
0.27,0.7
0.28,0.7
0.29,0.7
0.3,0.7035714285714286
0.31,0.7035714285714286
0.32,0.7035714285714286
0.33,0.7035714285714286
0.34,0.7035714285714286
0.35,0.7035714285714286
0.36,0.7035714285714286
0.37,0.7071428571428572
0.38,0.7107142857142857
0.39,0.7107142857142857
0.4,0.7107142857142857
0.41,0.7142857142857143
0.42,0.7107142857142857
0.43,0.7107142857142857
0.44,0.7107142857142857
0.45,0.7107142857142857
0.46,0.7107142857142857
0.47,0.7107142857142857
0.48,0.7142857142857143
0.49,0.7142857142857143
0.5,0.7142857142857143
0.51,0.7142857142857143
0.52,0.7142857142857143
0.53,0.7107142857142857
0.54,0.7107142857142857
0.55,0.7142857142857143
0.56,0.7142857142857143
0.57,0.7178571428571429
0.58,0.7214285714285714
0.59,0.7214285714285714
0.6,0.7214285714285714
0.61,0.725
0.62,0.7285714285714285
0.63,0.7285714285714285
0.64,0.7285714285714285
0.65,0.7285714285714285
0.66,0.7285714285714285
0.67,0.7357142857142858
0.68,0.7357142857142858
0.69,0.7357142857142858
0.7,0.7392857142857143
0.71,0.7357142857142858
0.72,0.7357142857142858
0.73,0.7357142857142858
0.74,0.7357142857142858
0.75,0.7428571428571429
0.76,0.7428571428571429
0.77,0.75
0.78,0.75
0.79,0.75
0.8,0.7535714285714286
0.81,0.7535714285714286
0.82,0.7535714285714286
0.83,0.75
0.84,0.75
0.85,0.75
0.86,0.7535714285714286
0.87,0.7571428571428571
0.88,0.7642857142857142
0.89,0.7642857142857142
0.9,0.7642857142857142
0.91,0.7642857142857142
0.92,0.7642857142857142
0.93,0.7642857142857142
0.94,0.7642857142857142
0.95,0.7607142857142857
0.96,0.7642857142857142
0.97,0.7642857142857142
0.98,0.7678571428571429
0.99,0.7678571428571429
1.0,0.7678571428571429
1.01,0.7678571428571429
1.02,0.7678571428571429
1.03,0.7678571428571429
1.04,0.7714285714285715
1.05,0.7714285714285715
1.06,0.7785714285714286
1.07,0.775
