lambda,accuracy
0.01,0.6892857142857143
0.0,0.6857142857142857
2.0,0.6785714285714286
0.0,0.6857142857142857
1.0,0.7678571428571429
1.01,0.7678571428571429
0.99,0.7678571428571429
1.5,0.7321428571428571
1.51,0.7321428571428571
1.49,0.7321428571428571
1.75,0.725
1.76,0.725
1.74,0.7285714285714285
1.8800000000000001,0.6928571428571428
1.8900000000000001,0.6892857142857143
1.87,0.6928571428571428
1.94,0.6892857142857143
1.95,0.6857142857142857
1.93,0.6892857142857143
1.97,0.6857142857142857
1.98,0.6821428571428572
1.96,0.6857142857142857
1.99,0.6785714285714286
2.0,0.6785714285714286
1.98,0.6821428571428572
2.0,0.6785714285714286
