lambda,accuracy
0.01,0.9797142857142858
0.0,0.9768571428571429
2.0,0.9668571428571429
0.0,0.9768571428571429
1.0,0.9948571428571429
1.01,0.9948571428571429
0.99,0.9948571428571429
1.5,0.9917142857142857
1.51,0.9917142857142857
1.49,0.992
1.75,0.9862857142857143
1.76,0.986
1.74,0.9871428571428571
1.62,0.9902857142857143
1.6300000000000001,0.9902857142857143
1.61,0.9908571428571429
1.68,0.9885714285714285
1.69,0.9882857142857143
1.67,0.9891428571428571
1.6500000000000001,0.9902857142857143
1.6600000000000001,0.9891428571428571
1.6400000000000001,0.9902857142857143
1.6600000000000001,0.9891428571428571
1.67,0.9891428571428571
1.6600000000000001,0.9891428571428571
